,Distance_km,Weather,Traffic_Level,Time_of_Day,Vehicle_Type,Preparation_Time_min,Courier_Experience_yrs,Delivery_Time_min
0,7.93,Windy,Low,Afternoon,Scooter,12,1.0,43
1,16.42,Clear,Medium,Evening,Bike,20,2.0,84
2,9.52,Foggy,Low,Night,Scooter,28,1.0,59
3,7.44,Rainy,Medium,Afternoon,Scooter,5,1.0,37
4,19.03,Clear,Low,Morning,Bike,16,5.0,68
5,19.4,Clear,Low,Evening,Scooter,8,9.0,57
6,9.52,Clear,Low,Morning,Bike,12,1.0,49
7,17.39,Clear,Medium,Evening,Scooter,5,6.0,46
8,1.78,Snowy,Low,Evening,Car,20,6.0,35
9,10.62,Foggy,Low,Evening,Scooter,29,1.0,73
10,16.86,Snowy,Medium,Afternoon,Car,13,4.0,88
11,15.54,Clear,Low,Night,Bike,29,1.0,76
12,10.89,Clear,High,Night,Bike,12,5.0,53
13,4.69,Rainy,Medium,Evening,Scooter,12,7.0,36
14,2.8,Clear,High,Morning,Scooter,10,4.523926024513096,33
15,2.17,Snowy,Low,Evening,Car,15,3.0,35
16,17.86,Rainy,Low,Afternoon,Bike,5,1.0,50
17,2.53,Snowy,Low,Morning,Bike,6,8.0,24
18,6.58,Foggy,Low,Evening,Car,6,7.0,27
19,5.38,Clear,Medium,Evening,Scooter,26,1.0,47
20,15.56,Rainy,Low,Afternoon,Scooter,28,0.0,72
21,13.08,Rainy,Low,Morning,Car,16,4.0,58
22,0.86,Clear,High,Afternoon,Bike,26,5.0,37
23,5.83,Clear,High,Evening,Car,27,9.0,56
24,11.2,Clear,Medium,Morning,Bike,23,4.523926024513096,73
25,14.59,Clear,Medium,Morning,Bike,15,6.0,64
26,12.91,Windy,Medium,Evening,Bike,11,6.0,56
27,13.92,Snowy,Low,Morning,Scooter,18,4.0,70
28,4.04,Snowy,Low,Night,Bike,11,9.0,70
29,18.05,Clear,Medium,Evening,Scooter,10,7.0,123
30,12.88,Clear,Medium,Morning,Scooter,8,5.0,52
31,19.45,Rainy,High,Morning,Scooter,20,6.0,108
